day,car_number
20170102,13
20170102,6
20170102,14
20170102,8
20170102,12
20170102,13
20170102,14
20170102,5
20170102,7
20170102,6
20170102,3
20170102,1
20170102,0
20170102,0
20170102,2
20170102,4
20170102,3
20170102,1
20170102,0
20170102,2
20170102,0
20170102,4
20170102,2
20170102,3
20170102,1
20170102,2
20170102,1
20170102,1
20170102,13
20170102,9
20170102,5
20170102,11
20170102,3
20170102,7
20170102,8
20170102,11
20170102,7
20170102,9
20170102,4
20170102,9
20170102,10
20170102,4
20170102,16
20170102,9
20170102,7
20170102,7
20170102,17
20170102,10
20170102,12
20170102,9
20170102,12
20170102,7
20170102,4
20170102,6
20170102,9
20170102,3
20170102,2
20170102,4
20170102,4
20170102,4
20170102,0
20170102,2
20170102,2
20170102,6
20170102,5
20170102,8
20170102,5
20170102,2
20170102,1
20170102,3
20170102,6
20170102,5
20170102,3
20170102,4
20170102,7
20170102,9
20170102,9
20170102,10
20170102,6
20170102,6
20170102,3
20170102,7
20170102,4
20170102,4
20170102,5
20170102,8
20170102,3
20170102,7
20170102,5
20170102,5
20170102,2
20170102,6
20170102,4
20170102,1
20170102,2
20170102,4
20170102,4
20170102,1
20170102,5
20170102,5
20170102,1
20170102,5
20170102,4
20170102,3
20170102,4
20170102,3
20170102,2
20170102,7
20170102,2
20170102,3
20170102,4
20170102,3
20170102,0
20170102,0
20170102,0
20170102,0
20170102,0
20170102,0
20170102,0
20170102,0
20170102,0
20170102,0
20170102,0
20170102,0
20170102,0
20170102,0
20170102,11
20170102,7
20170102,8
20170102,5
20170102,7
20170102,6
20170102,4
20170102,6
20170102,8
20170102,4
20170102,4
20170102,4
20170102,2
20170102,6
20170102,11
20170102,11
20170102,8
20170102,8
20170102,7
20170102,15
20170102,7
20170102,9
20170102,11
20170102,6
20170102,8
20170102,6
20170102,9
20170102,5
20170102,5
20170102,3
20170102,4
20170102,2
20170102,13
20170102,4
20170102,4
20170102,3
20170102,3
20170102,2
20170102,4
20170102,1
20170102,2
20170102,1
20170102,9
20170102,7
20170102,3
20170102,3
20170102,7
20170102,10
20170102,9
20170102,4
20170102,12
20170102,6
20170102,3
20170102,5
20170102,2
20170102,8
20170102,1
20170102,3
20170102,5
20170102,2
20170102,4
20170102,5
20170102,5
20170102,8
20170102,6
20170102,8
20170102,2
20170102,8
20170102,3
20170102,7
20170102,5
20170102,1
20170102,4
20170102,3
20170102,8
20170102,12
20170102,3
20170102,7
20170102,8
20170102,3
20170102,6
20170102,8
20170102,7
20170102,7
20170102,2
20170102,3
20170102,2
20170102,0
20170102,1
20170102,1
20170102,2
20170102,2
20170102,0
20170102,1
20170102,4
20170102,2
20170102,1
20170102,1
20170102,23
20170102,12
20170102,14
20170102,10
20170102,15
20170102,22
20170102,17
20170102,12
20170102,16
20170102,15
20170102,5
20170102,11
20170102,10
20170102,6
20170102,4
20170102,4
20170102,5
20170102,8
20170102,1
20170102,3
20170102,6
20170102,5
20170102,4
20170102,3
20170102,6
20170102,2
20170102,2
20170102,1
20170102,9
20170102,10
20170102,8
20170102,6
20170102,9
20170102,6
20170102,7
20170102,7
20170102,9
20170102,9
20170102,4
20170102,14
20170102,6
20170102,3
20170102,9
20170102,10
20170102,13
20170102,6
20170102,10
20170102,8
20170102,9
20170102,7
20170102,10
20170102,10
20170102,4
20170102,16
20170102,6
20170102,3
20170102,15
20170102,7
20170102,7
20170102,8
